SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
GNFC,EQ,472.1,314211861.8,662373
GOACARBON,EQ,931,118974015.6,125902
GOCLCORP,EQ,570.05,1111575.45,1947
GODFRYPHLP,EQ,878.6,116996746.5,132065
GODREJAGRO,EQ,576.7,58638214.4,101319
GODREJIND,EQ,541.8,128458740.9,236613
GODREJPROP,EQ,794.2,45274894.4,56697
GOENKA,BZ,0.9,733137.25,822298
GOKEX,EQ,98.4,8108589.45,81271
GOKUL,EQ,20,151494.75,7763
GOKULAGRO,EQ,25.65,543518.85,21195
GOLDBEES,EQ,2763.4,72543768.5,26312
GOLDIAM,EQ,77.05,1810571.1,23194
GOLDINFRA,EQ,192.3,30938922.65,160376
GOLDIWIN,EQ,280.9,3497943.15,12491
GOLDSHARE,EQ,2759.95,7005730,2547
GOLDTECH,EQ,14.7,46563.9,3157
GOODLUCK,BE,104.2,2644710.75,25144
GPIL,EQ,519.05,139100263.7,263384
GPPL,EQ,143.6,36864444.7,254348
GPTINFRA,EQ,176.45,6396160.2,35276
GRANULES,EQ,117.8,173602554.6,1470287
GRAPHITE,EQ,701.1,945778574.5,1333604
GRASIM,EQ,1100.05,455997118.8,413853
GRAVITA,EQ,152.05,27835110.7,181263
GREAVESCOT,EQ,122.15,84722340,692150
GREENLAM,EQ,1158.75,3022912.4,2557
GREENPLY,EQ,365.4,21556736.3,59453
GREENPOWER,EQ,11.25,6002740.45,522240
GRINDWELL,EQ,504.75,3854221.4,7640
GROBTEA,BE,1336,1645013.15,1229
GRPLTD,EQ,1336.7,745756.8,564
GRUH,EQ,520.3,121649270.3,233128
GSCLCEMENT,EQ,33.4,1254507.4,37247
GSFC,EQ,131.65,266596621.2,2016829
GSPL,EQ,198.4,62906142.45,316070
GSS,EQ,45.55,192139300.6,4122082
GTL,EQ,13.6,1412617.6,104140
GTLINFRA,EQ,5.3,22363296.9,4159158
GTNIND,EQ,22.2,20339415.6,866685
GTNTEX,EQ,21.2,198620.9,9251
GTPL,EQ,164,2679357.7,16240
GUFICBIO,EQ,123.6,6476034.05,52030
GUJALKALI,EQ,790.15,100751907.6,125692
GUJAPOLLO,EQ,214.25,681633.45,3136
GUJFLUORO,EQ,797.05,40415609.7,51049
GUJGASLTD,EQ,858.2,15996795.6,18643
GUJRAFFIA,BE,64,376448,5882
GULFOILLUB,EQ,987.25,28555754.6,29020
GULFPETRO,EQ,82.25,2361645.05,28748
GULPOLY,EQ,81.45,2700303.05,33207
GVKPIL,EQ,17.85,123616001.5,6816343
H1190M36RG,MF,10.05,954780.15,95003
HANUNG,BE,3.45,35560.6,10248
HARITASEAT,EQ,940.85,871961.95,927
HARRMALAYA,EQ,85.05,3834544.25,45598
HATHWAY,EQ,37.95,28613553.15,752245
HATSUN,EQ,770.9,2288680.25,2961
HBLPOWER,EQ,56.7,29917569.85,520135
HBSTOCK,EQ,44.25,3225018.75,72538
HCC,EQ,34.65,217400740.9,6260055
HCG,EQ,322.45,13705051.9,41837
HCL-INSYS,EQ,63.45,423810104,6543542
HDFC,W2,361.95,47531395,131400
HDFCLIFE,EQ,431.45,225350735.1,522734
