ISIN,BSE,Company,NSE,Sector,Industry,Link
INE259A01022,500830,Colgate,COLPAL,PERSONAL,CONSUMER GOODS,/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI
INE016A01026,500096,Dabur India,DABUR,PERSONAL,CONSUMER GOODS,/india/stockpricequote/personalcare/daburindia/DI
INE548C01032,531162,Emami,EMAMILTD,PERSONAL,CONSUMER GOODS,/india/stockpricequote/personalcare/emami/E06
INE322A01010,507815,Gillette India,GILLETTE,PERSONAL,CONSUMER GOODS,/india/stockpricequote/personalcare/gilletteindia/GI22
INE102D01028,532424,Godrej Consumer,GODREJCP,PERSONAL,CONSUMER GOODS,/india/stockpricequote/personalcare/godrejconsumerproducts/GCP
INE233A01035,500164,Godrej Ind,GODREJIND,PERSONAL,CONSUMER GOODS,/india/stockpricequote/personalcare/godrejindustries/GI23
INE030A01027,500696,HUL,HINDUNILVR,PERSONAL,CONSUMER GOODS,/india/stockpricequote/personalcare/hindustanunilever/HU
INE668F01031,532926,Jyothy Labs,JYOTHYLAB,PERSONAL,CONSUMER GOODS,/india/stockpricequote/personalcare/jyothylaboratories/JL
INE196A01026,531642,Marico,MARICO,PERSONAL,CONSUMER GOODS,/india/stockpricequote/personalcare/marico/M13
INE179A01014,500459,P and G,PGHH,PERSONAL,CONSUMER GOODS,/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH
INE837H01020,540025,Advanced Enzyme,ADVENZYMES,PHARMACEUTICALS,CONSUMER GOODS,/india/stockpricequote/pharmaceuticals/themismedicare/AET
INE421D01022,519600,CCL Products,CCL,PLANTATIONS,CONSUMER GOODS,/india/stockpricequote/plantationsteacoffee/cclproductsindia/CC10
INE942G01012,532654,Mcleod,MCLEODRUSS,PLANTATIONS,CONSUMER GOODS,/india/stockpricequote/plantationsteacoffee/mcleodrusselindia/MRI02
INE493A01027,532301,Tata Coffee,TATACOFFEE,PLANTATIONS,CONSUMER GOODS,/india/stockpricequote/plantationsteacoffee/tatacoffee/TC14
INE192A01025,500800,Tata Global Bev,TATAGLOBAL,PLANTATIONS,CONSUMER GOODS,/india/stockpricequote/plantationsteacoffee/tataglobalbeverage/TT
INE054A01027,507880,VIP Industries,VIPIND,PLASTICS,CONSUMER GOODS,/india/stockpricequote/plastics/vipindustries/VIP
INE647O01011,535755,Aditya Birla F,ABFRL,RETAIL,CONSUMER GOODS,/india/stockpricequote/autolcvshcvs/smlisuzu/PFR
INE192R01011,540376,Avenue Supermar,DMART,RETAIL,CONSUMER GOODS,/india/stockpricequote/miscellaneous/intrasofttechnologies/AS19
INE452O01016,536507,Future Life,FLFL,RETAIL,CONSUMER GOODS,/india/stockpricequote/retail/trent/FLF01
INE849A01020,500251,Trent,TRENT,RETAIL,CONSUMER GOODS,/india/stockpricequote/retail/trent/T04
INE119A01028,500038,Balrampur Chini,BALRAMCHIN,SUGAR,CONSUMER GOODS,/india/stockpricequote/sugar/balrampurchinimills/BCM
INE768C01010,531335,Zydus Wellness,ZYDUSWELL,VANASPATI,CONSUMER GOODS,/india/stockpricequote/vanaspatioils/zyduswellness/ZW01
INE306A01021,,Bajaj Hindusthan Sugar Ltd.,BAJAJHIND,,CONSUMER GOODS,
INE050A01025,,Bombay Burmah Trading Corporation Ltd.,BBTC,,CONSUMER GOODS,
INE335K01011,,Coffee Day Enterprises Ltd.,COFFEEDAY,,CONSUMER GOODS,
INE087H01022,,Shree Renuka Sugars Ltd.,RENUKA,,CONSUMER GOODS,
INE498B01024,,Shoppers Stop Ltd.,SHOPERSTOP,,CONSUMER GOODS,
INE703A01011,,Videocon Industries Ltd.,VIDEOIND,,CONSUMER GOODS,
INE725A01022,513023,Nava Bharat Ven,NBVENTURES,DIVERSIFIED,ENERGY,/india/stockpricequote/diversified/navabharatventures/NBV
INE172A01027,500870,Castrol,CASTROLIND,LUBRICANTS,ENERGY,/india/stockpricequote/lubricants/castrolindia/CI01
INE635Q01029,538567,Gulf Oil Lubric,GULFOILLUB,LUBRICANTS,ENERGY,/india/stockpricequote/lubricants/gulfoillubricantsindia/GOL01
INE421A01028,523204,Aban Offshore,ABAN,OIL,ENERGY,/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04
INE129A01019,532155,GAIL,GAIL,OIL,ENERGY,/india/stockpricequote/oildrillingandexploration/gailindia/GAI
INE246F01010,532702,Guj State Petro,GSPL,OIL,ENERGY,/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02
INE844O01022,539336,Gujarat Gas,GUJGASLTD,OIL,ENERGY,/india/stockpricequote/oildrillingandexploration/gujaratgascompany/GGC
INE203G01027,532514,IGL,IGL,OIL,ENERGY,/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04
INE274J01014,533106,Oil India,OIL,OIL,ENERGY,/india/stockpricequote/oildrillingandexploration/oilindia/OI13
INE213A01029,500312,ONGC,ONGC,OIL,ENERGY,/india/stockpricequote/oildrillingandexploration/oilnaturalgascorporation/ONG
INE347G01014,532522,Petronet LNG,PETRONET,OIL,ENERGY,/india/stockpricequote/oildrillingandexploration/petronetlngltd/PLN
INE486A01013,500084,CESC,CESC,POWER,ENERGY,/india/stockpricequote/powergenerationdistribution/cesc/CES
